Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
182088,coccma,"1,2,3,4,5,6,7",7,6,5,720,5040,3110400,,FALSE,,10916.4156323552,3.03233767565422
104036,guetfo,"1,2,3,4,5,6,7",7,7,4,840,3787,2471070,,FALSE,,7294.58410350148,2.02627336208374
180971,hybapr,"1,2,3,4,5,6,7",7,6,5,720,3840,2174400,,FALSE,,5846.65946439523,1.62407207344312
232308,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,3840,2174400,,FALSE,,5846.65946439523,1.62407207344312
053711,rinosy,"1,2,3,4,5,6,7",7,6,5,720,3750,2163600,,FALSE,,5796.74842911921,1.61020789697756
238962,cappfr,"1,2,3,4,5,6,7",7,6,5,720,3660,2096100,,FALSE,,5489.27389116119,1.52479830310033
036303,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,3990,1984500,,FALSE,,4997.84939311649,1.38829149808791
076919,des2pa,"1,2,3,4,5,6,7",7,7,4,840,3157,1809570,,FALSE,,4270.18178827085,1.18616160785301
125255,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,3822,1808100,,FALSE,,4264.28823287685,1.18452450913246
069498,des2pa,"1,2,3,4,5,6,7",7,7,4,840,3822,1781640,,FALSE,,4158.83664011421,1.15523240003172
094344,cappfr,"1,2,3,4,5,6,7",7,7,4,840,3192,1781640,,FALSE,,4158.83664011421,1.15523240003172
113657,hybapr,"1,2,3,4,5,6,7",7,7,4,840,3619,1770174,,FALSE,,4113.51327834827,1.14264257731896
028073,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,3240,1742400,,FALSE,,4004.6608877114,1.11240580214205
212515,all_trees_shrubs,"1,2,3,4,5,6,7",7,7,4,840,3192,1711080,,FALSE,,3883.49881717206,1.07874967143668
138168,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,3240,1670400,,FALSE,,3728.64411495416,1.03573447637616
298581,hybapr,"2,3,4,5,6,7",6,7,4,840,3612,1658160,,FALSE,,3682.60799280815,1.02294666466893
094290,faraoc,"1,2,3,4,5,6,7",7,7,4,840,3192,1649340,,FALSE,,3649.59489017731,1.01377635838258
063612,rinosy,"1,2,3,4,5,6,7",7,6,5,720,3030,1515600,,FALSE,,3165.47486067821,0.879298572410613
