Tag,Species,MaxObs,K,TotalStates,MaxStatesPerCensus,TransitionComputations
24,sp2,6,7,15120,5040,28929600
5,sp1,5,6,5040,720,3110400
2,sp1,5,6,3600,720,1684800
37,sp3,5,6,2880,720,1368000
9,sp1,5,6,3000,720,1339200
26,sp3,5,6,3000,720,1080000
27,sp3,5,6,1920,720,475200
25,sp2,4,5,660,120,57600
1,sp1,4,5,620,120,50400
18,sp2,4,5,660,120,50400
16,sp2,4,5,480,120,25200
19,sp2,4,5,295,120,17350
30,sp3,4,5,400,120,17200
11,sp2,4,5,320,120,10800
31,sp3,3,4,168,24,3456
10,sp1,3,4,132,24,2304
28,sp3,3,4,132,24,2016
15,sp2,3,4,120,24,1872
23,sp2,3,4,120,24,1872
34,sp3,3,4,108,24,1440
29,sp3,3,4,84,24,1232
22,sp2,3,4,84,24,1088
12,sp2,3,4,96,24,1008
35,sp3,3,4,96,24,1008
8,sp1,3,4,80,24,784
21,sp2,3,4,56,24,400
3,sp1,2,3,42,6,216
6,sp1,2,3,42,6,216
13,sp2,2,3,42,6,216
17,sp2,2,3,42,6,216
38,sp3,2,3,42,6,216
33,sp3,2,3,33,6,126
32,sp3,2,3,30,6,117
36,sp3,2,3,27,6,90
14,sp2,2,3,24,6,63
20,sp2,2,3,16,6,33
4,sp1,1,2,14,2,24
7,sp1,1,2,14,2,24
