Species,Tag,OriginalStemID,TrueStemID,CensusID,DBH,ExactDate,ListOfTSM,growth_form
sp1,1,1,,1,7.53760054216104,1980-01-01,,tree
sp1,1,2,,1,23.5790347139569,1980-01-01,,tree
sp1,1,3,,1,,1980-01-01,,tree
sp1,1,4,,1,,1980-01-01,,tree
sp1,1,5,,1,42.7415207218314,1980-01-01,,tree
sp1,1,1,,2,9.86822324525956,1984-11-17,,tree
sp1,1,2,,2,30.5374963069562,1984-11-17,,tree
sp1,1,3,,2,,1984-11-17,,tree
sp1,1,4,,2,0.306522675835534,1984-11-17,,tree
sp1,1,5,,2,45.4506258617407,1984-11-17,,tree
sp1,1,1,,3,16.0919541341749,1989-11-28,,tree
sp1,1,2,,3,36.070646176136,1989-11-28,,tree
sp1,1,3,,3,,1989-11-28,,tree
sp1,1,4,,3,1.95646528492596,1989-11-28,,tree
sp1,1,5,,3,54.3738713053589,1989-11-28,,tree
sp1,1,1,,4,20.4137680991966,1995-01-06,,tree
sp1,1,2,,4,48.6474445526364,1995-01-06,,tree
sp1,1,3,,4,,1995-01-06,,tree
sp1,1,4,,4,4.74877698820337,1995-01-06,,tree
sp1,1,5,,4,61.0594947779095,1995-01-06,,tree
sp1,1,1,,5,26.3992585297951,1999-10-13,,tree
sp1,1,2,,5,55.5670391275302,1999-10-13,,tree
sp1,1,3,,5,,1999-10-13,,tree
sp1,1,4,,5,7.4757080601187,1999-10-13,,tree
sp1,1,5,,5,65.4528653727692,1999-10-13,,tree
sp1,1,1,,6,37.0364736351304,2004-10-28,,tree
sp1,1,2,,6,66.5013744640114,2004-10-28,,tree
sp1,1,3,,6,,2004-10-28,,tree
sp1,1,4,,6,12.4532282368242,2004-10-28,,tree
sp1,1,5,,6,65.4528653727692,2004-10-28,,tree
sp1,1,1,1,7,44.3043674667768,2009-11-16,,tree
sp1,1,2,2,7,77.5998995762377,2009-11-16,,tree
sp1,1,3,3,7,0.150562872315699,2009-11-16,,tree
sp1,1,4,4,7,17.3241826599667,2009-11-16,,tree
sp1,1,5,5,7,70.015710727766,2009-11-16,,tree
sp1,1,1,1,8,56.2439665949433,2014-10-26,,tree
sp1,1,2,2,8,79.8367150321494,2014-10-26,,tree
sp1,1,3,3,8,0.150562872315699,2014-10-26,,tree
sp1,1,4,4,8,21.5172180724279,2014-10-26,,tree
sp1,1,5,5,8,73.420801044693,2014-10-26,,tree
sp1,1,1,1,9,63.8208734285944,2019-10-06,,tree
sp1,1,2,2,9,89.3592697871013,2019-10-06,,tree
sp1,1,3,3,9,0.832462965912623,2019-10-06,,tree
sp1,1,4,4,9,33.2547119133555,2019-10-06,,tree
sp1,1,5,5,9,87.8222502325724,2019-10-06,,tree
sp1,2,1,,1,15.5426316102452,1980-01-01,,tree
sp1,2,2,,1,11.0045800156871,1980-01-01,,tree
sp1,2,3,,1,7.29080687475009,1980-01-01,,tree
sp1,2,4,,1,,1980-01-01,,tree
sp1,2,1,,2,19.1640392297841,1985-01-04,,tree
sp1,2,2,,2,17.1092853523817,1985-01-04,,tree
sp1,2,3,,2,12.1838738770477,1985-01-04,,tree
sp1,2,4,,2,,1985-01-04,,tree
sp1,2,1,,3,27.2024891603932,1990-01-31,,tree
sp1,2,2,,3,21.990507117763,1990-01-31,,tree
sp1,2,3,,3,21.1803918920917,1990-01-31,,tree
sp1,2,4,,3,,1990-01-31,,tree
sp1,2,1,,4,33.0172718510449,1995-03-23,,tree
sp1,2,2,,4,28.0387802388318,1995-03-23,,tree
sp1,2,3,,4,28.079685446052,1995-03-23,,tree
sp1,2,4,,4,,1995-03-23,,tree
sp1,2,1,,5,39.5031021140406,2000-02-20,,tree
sp1,2,2,,5,32.3271094777987,2000-02-20,,tree
sp1,2,3,,5,33.1402141256717,2000-02-20,,tree
sp1,2,4,,5,,2000-02-20,,tree
sp1,2,1,,6,,2005-03-02,,tree
sp1,2,2,,6,,2005-03-02,,tree
sp1,2,3,,6,41.7183744205571,2005-03-02,,tree
sp1,2,4,,6,0.608488140821093,2005-03-02,,tree
sp1,2,1,1,7,,2010-04-20,,tree
sp1,2,2,2,7,,2010-04-20,,tree
sp1,2,3,3,7,45.5718090697934,2010-04-20,,tree
sp1,2,4,4,7,2.3159936975399,2010-04-20,,tree
sp1,2,1,1,8,,2015-03-18,,tree
sp1,2,2,2,8,,2015-03-18,,tree
sp1,2,3,3,8,51.1012837148115,2015-03-18,,tree
sp1,2,4,4,8,5.42044601565413,2015-03-18,,tree
sp1,2,1,1,9,,2020-03-09,,tree
sp1,2,2,2,9,,2020-03-09,,tree
sp1,2,3,3,9,,2020-03-09,,tree
sp1,2,4,4,9,12.2053763208539,2020-03-09,,tree
sp1,3,1,,1,4.48498215153657,1980-01-01,,tree
sp1,3,2,,1,8.6573639381074,1980-01-01,,tree
sp1,3,3,,1,,1980-01-01,,tree
sp1,3,4,,1,6.50002973903841,1980-01-01,,tree
sp1,3,5,,1,,1980-01-01,,tree
sp1,3,6,,1,,1980-01-01,,tree
sp1,3,1,,2,8.77489445976649,1985-02-25,,tree
sp1,3,2,,2,12.3775802341776,1985-02-25,,tree
sp1,3,3,,2,,1985-02-25,,tree
sp1,3,4,,2,10.4617304505089,1985-02-25,,tree
sp1,3,5,,2,,1985-02-25,,tree
sp1,3,6,,2,,1985-02-25,,tree
sp1,3,1,,3,16.5767591538358,1990-01-24,,tree
sp1,3,2,,3,18.8334998613401,1990-01-24,,tree
sp1,3,3,,3,,1990-01-24,,tree
sp1,3,4,,3,18.8210256655426,1990-01-24,,tree
sp1,3,5,,3,0.883549973166741,1990-01-24,,tree
sp1,3,6,,3,,1990-01-24,,tree
sp1,3,1,,4,23.9738095268026,1995-01-13,,tree
sp1,3,2,,4,23.9085640045905,1995-01-13,,tree
sp1,3,3,,4,0.683088136706095,1995-01-13,,tree
sp1,3,4,,4,22.4682950976005,1995-01-13,,tree
sp1,3,5,,4,,1995-01-13,,tree
sp1,3,6,,4,,1995-01-13,,tree
sp1,3,1,,5,,2000-02-04,,tree
sp1,3,2,,5,31.2025537562702,2000-02-04,,tree
sp1,3,3,,5,2.33543199965688,2000-02-04,,tree
sp1,3,4,,5,26.0672028785503,2000-02-04,,tree
sp1,3,5,,5,,2000-02-04,,tree
sp1,3,6,,5,,2000-02-04,,tree
sp1,3,1,,6,,2005-01-14,,tree
sp1,3,2,,6,40.4797024305032,2005-01-14,,tree
sp1,3,3,,6,8.33911946265971,2005-01-14,,tree
sp1,3,4,,6,33.8363067839592,2005-01-14,,tree
sp1,3,5,,6,,2005-01-14,,tree
sp1,3,6,,6,,2005-01-14,,tree
sp1,3,1,1,7,,2010-02-23,,tree
sp1,3,2,2,7,44.7625200284779,2010-02-23,,tree
sp1,3,3,3,7,12.6742621228703,2010-02-23,,tree
sp1,3,4,4,7,41.9721607803584,2010-02-23,,tree
sp1,3,5,5,7,,2010-02-23,,tree
sp1,3,6,6,7,,2010-02-23,,tree
sp1,3,1,1,8,,2014-12-19,,tree
sp1,3,2,2,8,52.9723080472559,2014-12-19,,tree
sp1,3,3,3,8,18.7636201050399,2014-12-19,,tree
sp1,3,4,4,8,46.4446141329545,2014-12-19,,tree
sp1,3,5,5,8,,2014-12-19,,tree
sp1,3,6,6,8,0.393784422233795,2014-12-19,,tree
sp1,3,1,1,9,,2020-02-05,,tree
sp1,3,2,2,9,60.1274094288374,2020-02-05,,tree
sp1,3,3,3,9,27.567125361204,2020-02-05,,tree
sp1,3,4,4,9,57.5826612620316,2020-02-05,,tree
sp1,3,5,5,9,,2020-02-05,,tree
sp1,3,6,6,9,1.58695045876191,2020-02-05,,tree
sp1,4,1,,1,4.24044185003115,1980-01-01,,tree
sp1,4,2,,1,23.8371597127653,1980-01-01,,tree
sp1,4,3,,1,14.0196161238702,1980-01-01,,tree
sp1,4,4,,1,,1980-01-01,,tree
sp1,4,5,,1,10.6143835051824,1980-01-01,,tree
sp1,4,1,,2,7.06307965306693,1984-09-08,,tree
