Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
19,sp2,"1,2,3,4,5,6,7",7,7,6,5040,27720,107956800,107956800,FALSE,,12440204.1055154,3455.61225153206
11,sp2,"1,2,3,4,5,6,7",7,7,6,5040,19320,57153600,57153600,FALSE,,3142538.23067339,872.927286298165
24,sp2,"1,2,3,4,5,6,7",7,6,5,720,4320,2462400,2462400,FALSE,,7250.16912727424,2.01393586868729
4,sp1,"1,2,3,4,5,6,7",7,6,5,720,3720,2116800,2116800,FALSE,,5582.74642019459,1.5507628944985
23,sp2,"1,2,3,4,5,6,7",7,6,5,720,3360,1598400,1598400,FALSE,,3461.55256204192,0.961542378344978
27,sp3,"1,2,3,4,5,6,7",7,6,5,720,3240,1296000,1296000,FALSE,,2438.05581807114,0.677237727241982
32,sp3,"1,2,3,4,5,6,7",7,6,5,720,2640,950400,950400,FALSE,,1466.30001167916,0.407305558799766
1,sp1,"1,2,3,4,5,6,7",7,6,5,720,2640,820800,820800,FALSE,,1157.80268703612,0.321611857510033
7,sp1,"1,2,3,4,5,6,7",7,6,4,360,2040,518400,518400,FALSE,,561.70736172906,0.156029822702517
20,sp2,"1,2,3,4,5,6,7",7,6,4,360,2040,518400,518400,FALSE,,561.70736172906,0.156029822702517
15,sp2,"1,2,3,4,5,6,7",7,6,5,720,1920,475200,475200,FALSE,,491.249168801919,0.136458102444978
22,sp2,"1,2,3,4,5,6,7",7,6,4,360,1800,403200,403200,FALSE,,382.375961892782,0.106215544970217
30,sp3,"1,2,3,4,5,6,7",7,6,5,720,1680,360000,360000,FALSE,,322.313236542089,0.0895314545950248
123315,sp1,"1,2,3,4,5,6,7",7,6,4,360,672,72216,72216,FALSE,,33.8935557204526,0.0094148765890146
28,sp3,"1,2,3,4,5,6,7",7,5,4,120,680,67200,67200,FALSE,,30.8682059499701,0.00857450165276948
14,sp2,"1,2,3,4,5,6,7",7,5,4,120,660,57600,57600,FALSE,,25.3216776087558,0.00703379933576549
3,sp1,"1,2,3,4,5,6,7",7,5,4,120,540,39600,39600,FALSE,,15.8379996089326,0.00439944433581461
37,sp3,"1,2,3,4,5,6,7",7,5,4,120,540,36000,36000,FALSE,,14.0947951642884,0.00391522087896899
12,sp2,"1,2,3,4,5,6,7",7,5,4,120,440,32400,32400,FALSE,,12.4062906257945,0.00344619184049847
33,sp3,"1,2,3,4,5,6,7",7,5,4,120,220,8575,8575,FALSE,,2.7887541534625,0.00077465393151736
21,sp2,"1,2,3,4,5,6,7",7,5,3,60,260,8000,8000,FALSE,,2.5951148003752,0.000720865222326443
6,sp1,"1,2,3,4,5,6,7",7,4,3,24,168,3456,3456,FALSE,,1.13919990286732,0.000316444417463143
25,sp2,"1,2,3,4,5,6,7",7,4,3,24,156,3168,3168,FALSE,,1.05120193312482,0.000292000536979117
2,sp1,"1,2,3,4,5,6,7",7,4,3,24,144,2736,2736,FALSE,,0.919974232202507,0.00025554839783403
10,sp1,"1,2,3,4,5,6,7",7,4,3,24,120,1872,1872,FALSE,,0.659485642985469,0.000183190456384852
9,sp1,"1,2,3,4,5,6,7",7,4,3,24,108,1440,1440,FALSE,,0.529363356460829,0.000147045376794675
26,sp3,"1,2,3,4,5,6,7",7,4,3,24,92,1216,1216,FALSE,,0.461519980051364,0.000128199994458712
8,sp1,"1,2,3,4,5,6,7",7,4,3,24,84,1088,1088,FALSE,,0.422512988631639,0.000117364719064344
31364,sp1,"1,2,3,4,5,6,7",7,4,2,12,84,864,864,FALSE,,0.35355783808304,9.82105105786221e-05
38,sp3,"1,2,3,4,5,6,7",7,4,2,12,60,448,448,FALSE,,0.220581235570831,6.12725654363419e-05
5,sp1,"1,2,3,4,5,6,7",7,3,2,6,42,216,216,FALSE,,0.138996308830284,3.861008578619e-05
18,sp2,"1,2,3,4,5,6,7",7,3,2,6,42,216,216,FALSE,,0.138996308830284,3.861008578619e-05
86,sp1,"1,2,3,4,5,6,7",7,3,2,6,39,198,198,FALSE,,0.132123258061825,3.67009050171736e-05
87,sp1,"1,2,3,4,5,6,7",7,3,2,6,39,198,198,FALSE,,0.132123258061825,3.67009050171736e-05
88,sp1,"1,2,3,4,5,6,7",7,3,2,6,39,198,198,FALSE,,0.132123258061825,3.67009050171736e-05
17,sp2,"1,2,3,4,5,6,7",7,3,2,6,36,171,171,FALSE,,0.121558829055435,3.37663414042875e-05
40831,sp1,"1,3,4,5,6,7",6,3,2,6,33,162,162,FALSE,,0.11795829859037,3.27661940528806e-05
16,sp2,"1,2,3,4,5,6,7",7,3,2,6,30,117,117,FALSE,,0.0991821408405493,2.75505946779304e-05
34,sp3,"1,2,3,4,5,6,7",7,3,2,6,30,117,117,FALSE,,0.0991821408405493,2.75505946779304e-05
13,sp2,"1,2,3,4,5,6,7",7,3,2,6,27,90,90,FALSE,,0.0870659694071237,2.41849915019788e-05
31,sp3,"1,2,3,4,5,6,7",7,3,2,6,27,90,90,FALSE,,0.0870659694071237,2.41849915019788e-05
36,sp3,"1,2,3,4,5,6,7",7,3,2,6,24,72,72,FALSE,,0.0784542575134269,2.17928493092852e-05
131222,sp1,"1,3,4,5,6,7",6,3,2,6,21,63,63,FALSE,,0.0739301573856074,2.05361548293354e-05
193880,sp1,"1,2,3,4,5,6,7",7,3,1,3,21,54,54,FALSE,,0.0692194799933515,1.92276333314865e-05
249573,sp1,"1,3,4,5,6,7",6,3,2,6,21,54,54,FALSE,,0.0692194799933515,1.92276333314865e-05
246746,sp1,"1,3,4,5,6,7",6,3,1,3,18,45,45,FALSE,,0.0642759490929328,1.78544303035924e-05
41,sp3,"6,7",2,3,2,6,12,36,36,FALSE,,0.0590310694816132,1.63975193004481e-05
29,sp3,"1,2,3,4,5,6,7",7,2,1,2,14,24,24,FALSE,,0.0513708739415317,1.4269687205981e-05
159367,sp1,"1,2,3,4,5,6,7",7,2,1,2,14,24,24,FALSE,,0.0513708739415317,1.4269687205981e-05
167848,sp1,"1,2,3,4,5,6,7",7,2,1,2,14,24,24,FALSE,,0.0513708739415317,1.4269687205981e-05
170662,sp1,"1,2,3,4,5,6,7",7,2,1,2,14,24,24,FALSE,,0.0513708739415317,1.4269687205981e-05
166815,sp1,"1,4,5,6,7",5,2,1,2,10,16,16,FALSE,,0.0456181049822929,1.26716958284147e-05
306322,sp1,"2,4,5,6,7",5,2,1,2,10,16,16,FALSE,,0.0456181049822929,1.26716958284147e-05
83,sp1,"4,5,6,7",4,2,1,2,8,12,12,FALSE,,0.042449049960804,1.179140276689e-05
84,sp1,"4,5,6,7",4,2,1,2,8,12,12,FALSE,,0.042449049960804,1.179140276689e-05
531093,sp1,"4,5,6,7",4,2,1,2,8,12,12,FALSE,,0.042449049960804,1.179140276689e-05
527220,sp1,"4,6,7",3,2,1,2,6,8,8,FALSE,,0.039021555723988,1.08393210344411e-05
35,sp3,"1,7",2,2,1,2,4,4,4,FALSE,,0.0354113502165393,9.83648617126093e-06
39,sp1,"6,7",2,2,1,2,4,4,4,FALSE,,0.0354113502165393,9.83648617126093e-06
600156,sp1,"5,7",2,2,1,2,4,4,4,FALSE,,0.0354113502165393,9.83648617126093e-06
45,sp1,7,1,2,1,2,2,0,,FALSE,,0.0348200988746978,9.67224968741607e-06
46,sp1,7,1,2,1,2,2,0,,FALSE,,0.0348200988746978,9.67224968741607e-06
47,sp1,7,1,2,1,2,2,0,,FALSE,,0.0348200988746978,9.67224968741607e-06
43,,,0,0,0,0,0,0,,FALSE,no_obs_up_to_anchor,0.0348200988746978,9.67224968741607e-06
61350,sp1,"1,2,3,4,5",5,5,4,120,380,30000,,TRUE,anchor_ids_missing,11.3119467726368,0.00314220743684355
252057,sp1,"1,2,3,4,5,6",6,5,4,120,245,11300,,TRUE,anchor_ids_missing,3.73432115276134,0.0010373114313226
71698,sp1,"1,2,3,4,5",5,4,3,24,60,784,,TRUE,anchor_ids_missing,0.328621686100792,9.12838016946643e-05
242799,sp1,"1,2,3,4,5",5,4,2,12,52,480,,TRUE,anchor_ids_missing,0.231211013828231,6.4225281618953e-05
2747,sp1,"1,2,3,4",4,4,3,24,44,400,,TRUE,anchor_ids_missing,0.20443045497176,5.67862374921556e-05
247222,sp1,"1,2,3,4,5",5,4,2,12,52,384,,TRUE,anchor_ids_missing,0.198984175407791,5.52733820577198e-05
228583,sp1,"1,2,3,4",4,4,2,12,32,208,,TRUE,anchor_ids_missing,0.135956789548495,3.7765774874582e-05
42,sp1,"1,2,3,4,5",5,3,2,6,30,144,,TRUE,anchor_ids_missing,0.110617273194612,3.07270203318368e-05
111885,sp1,"1,2,3,4,5",5,3,2,6,24,108,,TRUE,anchor_ids_missing,0.0952314761942885,2.64531878317468e-05
82942,sp1,"1,2,3,4,5",5,3,2,6,24,99,,TRUE,anchor_ids_missing,0.091196668310126,2.53324078639239e-05
140729,sp1,"1,2,3,4,5,6",6,3,2,6,24,90,,TRUE,anchor_ids_missing,0.0870659694071237,2.41849915019788e-05
229214,sp1,"1,2,3,4,5,6",6,3,2,6,24,90,,TRUE,anchor_ids_missing,0.0870659694071237,2.41849915019788e-05
50569,sp1,"1,2,3,4,5",5,3,2,6,18,54,,TRUE,anchor_ids_missing,0.0692194799933515,1.92276333314865e-05
176772,sp1,"1,2",2,3,2,6,9,18,,TRUE,anchor_ids_missing,0.0471210927455506,1.30891924293196e-05
40,sp2,"1,2,3,4,5",5,2,1,2,10,16,,TRUE,anchor_ids_missing,0.0456181049822929,1.26716958284147e-05
51,sp2,"3,4,5,6,7",5,2,1,2,10,16,,TRUE,anchor_ids_missing,0.0456181049822929,1.26716958284147e-05
52,sp2,"3,4,5,6",4,2,1,2,8,12,,TRUE,anchor_ids_missing,0.042449049960804,1.179140276689e-05
85,sp1,"4,5,6,7",4,2,1,2,8,12,,TRUE,anchor_ids_missing,0.042449049960804,1.179140276689e-05
106452,sp1,"1,2,3",3,2,1,2,6,8,,TRUE,anchor_ids_missing,0.039021555723988,1.08393210344411e-05
48,sp2,1,1,2,1,2,2,0,,TRUE,anchor_ids_missing,0.0348200988746978,9.67224968741607e-06
49,sp2,1,1,9,8,362880,362880,0,,TRUE,enum_exceeded,0.0348200988746978,9.67224968741607e-06
50,sp2,1,1,9,8,362880,362880,0,,TRUE,enum_exceeded,0.0348200988746978,9.67224968741607e-06
53,sp2,1,1,2,1,2,2,0,,TRUE,anchor_ids_missing,0.0348200988746978,9.67224968741607e-06
