label,max_states,min_growth,max_growth,prune_min,prune_max,recruit_max,n_tags_total,n_tags_dp,n_tags_igraph,pct_dp,total_hours,slowest_tag,slowest_min,median_sec,max_states_in_data
current settings,40000,-0.5,5,-0.625,6.25,32.499875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
"max_states 5,000",5000,-0.5,5,-0.625,6.25,32.499875,87,62,25,71.3,4335.16,24,120.8,0.1,720
"max_states 10,000",10000,-0.5,5,-0.625,6.25,32.499875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
"max_states 100,000",1e+05,-0.5,5,-0.625,6.25,32.499875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
max_growth 3 cm/yr,40000,-0.5,3,-0.625,3.75,19.999875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
max_growth 7.5 cm/yr,40000,-0.5,7.5,-0.625,9.375,48.124875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
max_growth 10 cm/yr,40000,-0.5,10,-0.625,12.5,63.749875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
min_growth -0.25 cm/yr,40000,-0.25,5,-0.3125,6.25,32.499875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
min_growth -1.0 cm/yr,40000,-1,5,-1.25,6.25,32.499875,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
prune margin 1.0x (no margin),40000,-0.5,5,-0.5,5,25.9999,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
prune margin 1.5x,40000,-0.5,5,-0.75,7.5,38.99985,87,64,23,73.6,4335.16,19,207336.7,0.1,5040
