Species,Tag,OriginalStemID,TrueStemID,CensusID,BirthCensus,DeathCensus,DBH_true,DBH,AnnualGrowth,YearFactor,ObsSD
sp1,1,1,,1,1,9,15.4034724487588,15.2549984995912,0.82632361690532,1,0.185901529182305
sp1,1,1,,2,1,9,19.5350905332854,19.4285384491393,1.87360766232307,1.7,0.211517561306369
sp1,1,1,,3,1,9,28.9031288449008,29.5274127586687,0.751450676149544,1,0.269599398838385
sp1,1,1,,4,1,9,32.6603822256485,32.4576380718229,0.849065404342931,1,0.292894369799021
sp1,1,1,,5,1,9,36.9057092473631,37.0631943135798,1.98573307774822,1.7,0.319215397333651
sp1,1,1,,6,1,9,46.8343746361042,46.8124415448476,1.46858684207091,1,0.380773122743846
sp1,1,1,1,7,1,9,54.1773088464588,54.2571826119444,1.0727068675724,1,0.426299314848045
sp1,1,1,1,8,1,9,59.5408431843208,59.9225865777389,1.77282193243752,1.7,0.459553227742789
sp1,1,1,1,9,1,9,68.4049528465084,68.5308112549385,,1,0.514510707648352
sp1,1,2,,1,4,9,,,,1,
sp1,1,2,,2,4,9,,,,1.7,
sp1,1,2,,3,4,9,,,,1,
sp1,1,2,,4,4,9,0.227324148251326,,0.151701556530246,1,
sp1,1,2,,5,4,9,0.985831930902554,,0.695636112721573,1.7,
sp1,1,2,,6,4,9,4.46401249451042,4.43391769137975,0.880341108357699,1,0.118076877465965
sp1,1,2,2,7,4,9,8.86571803629891,8.87000896807615,0.660326278506592,1,0.145367451825053
sp1,1,2,2,8,4,9,12.1673494288319,14.9247797407046,1.46946050424139,1.7,4.64
sp1,1,2,2,9,4,9,19.5146519500388,19.5271525830373,,1,0.211390842090241
sp1,1,3,,1,1,4,8.94982496784967,9.04362969868699,0.735391544298199,1,0.145888914800668
sp1,1,3,,2,1,4,12.6267826893407,12.668924715731,1.8010201728265,1.7,0.168686052673912
sp1,1,3,,3,1,4,21.6318835534732,21.6127218713861,0.998127671780451,1,0.224517678031534
sp1,1,3,,4,1,4,26.6225219123754,26.3177488693848,0.776460242346621,1,0.255459635856728
sp1,1,3,,5,1,4,,,,1.7,
sp1,1,3,,6,1,4,,,,1,
sp1,1,3,,7,1,4,,,,1,
sp1,1,3,,8,1,4,,,,1.7,
sp1,1,3,,9,1,4,,,,1,
sp1,1,4,,1,1,9,2.8763265050449,3.85538515084044,0.709490155185956,1,4.64
sp1,1,4,,2,1,9,6.42377728097468,6.51894053289584,1.30059144676822,1.7,0.130227419142043
sp1,1,4,,3,1,9,12.9267345148158,12.9411935779543,0.636356795068663,1,0.170545753991858
sp1,1,4,,4,1,9,16.1085184901591,15.8888864624904,1.50588190608841,1,0.190272814638986
sp1,1,4,,5,1,9,23.6379280206011,23.5576328926621,1.79062534518632,1.7,0.236955153727727
sp1,1,4,,6,1,9,32.5910547465327,33.0766208988663,0.783020427370996,1,0.292464539428503
sp1,1,4,4,7,1,9,36.5061568833877,36.7969642828271,1.44409762398512,1,0.316738172677004
sp1,1,4,4,8,1,9,43.7266450033133,43.1173056734402,1.40883027889618,1.7,0.361505199020543
sp1,1,4,4,9,1,9,50.7707963977942,50.7465493172323,,1,0.405178937666324
sp1,1,5,,1,1,4,6.12688503997549,5.05646953067482,0.607377464499835,1,4.64
sp1,1,5,,2,1,4,9.16377236247466,9.11002567757112,1.00285054541707,1.7,0.147215388647343
sp1,1,5,,3,1,4,14.17802508956,14.206111127935,0.904463238824336,1,0.178303755555272
sp1,1,5,,4,1,4,18.7003412836817,18.8583853592534,0.961514929200561,1,0.206342115958827
sp1,1,5,,5,1,4,,,,1.7,
sp1,1,5,,6,1,4,,,,1,
sp1,1,5,,7,1,4,,,,1,
sp1,1,5,,8,1,4,,,,1.7,
sp1,1,5,,9,1,4,,,,1,
sp1,2,1,,1,1,8,27.64501741544,27.3403140412826,1.62967928103053,1,0.261799107975728
sp1,2,1,,2,1,8,35.7934138205926,36.3416743469262,1.88074489237123,1.7,0.312319165687674
sp1,2,1,,3,1,8,45.1971382824488,45.7344061547296,2.35099150470176,1,0.370622257351183
sp1,2,1,,4,1,8,56.9520958059576,56.7530539058398,1.02606030217629,1,0.443502993996937
sp1,2,1,,5,1,8,62.0823973168391,62.1489728208697,2.75475821477784,1.7,0.475310863364402
sp1,2,1,,6,1,8,75.8561883907283,75.6466795250048,1.46849243798211,1,0.560708368022515
sp1,2,1,1,7,1,8,83.1986505806388,82.4672720549149,1.08946927312805,1,0.606231633599961
sp1,2,1,1,8,1,8,88.6459969462791,76.2973516225528,1.94559740156133,1.7,4.64
sp1,2,1,,9,1,8,,,,1,
sp1,2,2,,1,1,9,5.59762636998884,5.68697275661302,0.916201926497605,1,0.125105283493931
sp1,2,2,,2,1,9,10.1786360024769,10.3437926346653,1.28184784331088,1.7,0.153507543215357
sp1,2,2,,3,1,9,16.5878752190312,17.0226288333352,0.648707329147728,1,0.193244826357994
sp1,2,2,,4,1,9,19.8314118647699,19.8736327647259,0.7032969626305,1,0.213354753561573
sp1,2,2,,5,1,9,23.3478966779224,23.2125529556733,2.27034532483023,1.7,0.235156959403119
sp1,2,2,,6,1,9,34.6996233020736,34.675998865565,1.62686860005253,1,0.305537664472856
sp1,2,2,2,7,1,9,42.8339663023362,42.254474697191,0.917961784084662,1,0.355970591074484
sp1,2,2,2,8,1,9,47.4237752227595,47.4737212438687,1.37256067678092,1.7,0.384427406381109
sp1,2,2,2,9,1,9,54.2865786066641,54.1048260597587,,1,0.426976787361317
sp1,2,3,,1,1,9,6.73271233246849,6.9512815018265,0.673290515884941,1,0.132142816461305
sp1,2,3,,2,1,9,10.0991649118932,9.79881078364862,1.39613164185561,1.7,0.153014822453738
sp1,2,3,,3,1,9,17.0798231211712,17.2282467053724,1.26003002676638,1,0.196294903351262
sp1,2,3,,4,1,9,23.3799732550031,23.3833667702711,0.110073502485615,1,0.23535583418102
sp1,2,3,,5,1,9,23.9303407674312,24.1561470676361,2.06592033985243,1.7,0.238768112758074
sp1,2,3,,6,1,9,34.2599424666934,34.2300221047425,1.20008709705572,1,0.302811643293499
sp1,2,3,3,7,1,9,40.260377951972,39.3288222120972,1.07004678487394,1,0.340014343302226
sp1,2,3,3,8,1,9,45.6106118763417,45.7674640483274,1.99507904789736,1.7,0.373185793633318
sp1,2,3,3,9,1,9,55.5860071158285,55.491004876919,,1,0.435033244118137
sp1,2,4,,1,4,9,,,,1,
sp1,2,4,,2,4,9,,,,1.7,
sp1,2,4,,3,4,9,,,,1,
sp1,2,4,,4,4,9,0.9133739356708,,0.238236910345234,1,
