Tag,species,OriginalStemID,TrueStemID,CensusID,BirthCensus,DeathCensus,DBH_true,DBH,AnnualGrowth,YearFactor,ObsSD
1,all,1,,1,1,9,48.8006744,49.00843729,0.206577126,1,0.4
1,all,1,,2,1,9,49.83356003,49.95402138,0.163135244,1,0.4
1,all,1,,3,1,9,50.64923626,50.69150673,0.107353513,0.5,0.4
1,all,1,,4,1,9,51.18600382,50.92972142,0.276751306,1,0.4
1,all,1,,5,1,9,52.56976035,52.22987861,0.169314709,1,0.4
1,all,1,,6,1,9,53.4163339,53.00668238,0.272911493,0.5,0.4
1,all,1,1,7,1,9,54.78089136,54.82795,0.276338422,1,0.4
1,all,1,1,8,1,9,56.16258347,55.78359363,0.164588673,1,0.4
1,all,1,1,9,1,9,56.98552684,56.78930386,,1,0.4
1,all,2,,1,1,9,64.66259177,65.03184346,0.032981169,1,0.4
1,all,2,,2,1,9,64.82749761,65.1047512,0.165380154,1,0.4
1,all,2,,3,1,9,65.65439838,65.59859825,0,0.5,0.4
1,all,2,,4,1,9,65.65439838,64.33012689,0.261131193,1,0.4
1,all,2,,5,1,9,66.96005435,67.17544067,0.011803882,1,0.4
1,all,2,,6,1,9,67.01907376,67.3760681,0.064049202,0.5,0.4
1,all,2,2,7,1,9,67.33931977,67.53510458,0.075325373,1,0.4
1,all,2,2,8,1,9,67.71594664,67.23740594,0.078261708,1,0.4
1,all,2,2,9,1,9,68.10725517,68.29235032,,1,0.4
1,all,3,,1,1,9,66.48871868,66.47550421,0,1,0.4
1,all,3,,2,1,9,66.48871868,65.5023594,0.022191674,1,0.4
1,all,3,,3,1,9,66.59967705,67.6282603,0,0.5,0.4
1,all,3,,4,1,9,66.59967705,66.51755734,0.1069764,1,0.4
1,all,3,,5,1,9,67.13455905,67.39503636,0,1,0.4
1,all,3,,6,1,9,67.13455905,67.24406564,0.115063049,0.5,0.4
1,all,3,3,7,1,9,67.70987429,68.11974359,0.040025788,1,0.4
1,all,3,3,8,1,9,67.91000323,68.23706701,0.152748147,1,0.4
1,all,3,3,9,1,9,68.67374397,68.5898267,,1,0.4
1,all,4,,1,1,9,43.69270448,43.07500025,0.297623839,1,0.4
1,all,4,,2,1,9,45.18082368,45.10610002,0.266368999,1,0.4
1,all,4,,3,1,9,46.51266867,46.46199978,0,0.5,0.4
1,all,4,,4,1,9,46.51266867,46.08050127,0.216305683,1,0.4
1,all,4,,5,1,9,47.59419709,47.66417987,0.124966392,1,0.4
1,all,4,,6,1,9,48.21902905,47.74263075,0.094134836,0.5,0.4
1,all,4,4,7,1,9,48.68970323,48.66800469,0.115449049,1,0.4
1,all,4,4,8,1,9,49.26694847,48.59308221,0.194305752,1,0.4
1,all,4,4,9,1,9,50.23847723,49.992636,,1,0.4
2,all,1,,1,1,3,1.314291985,1.199953815,0.742883472,1,0.4
2,all,1,,2,1,3,5.028709343,5.230359844,0.368318024,1,0.4
2,all,1,,3,1,3,6.870299464,6.407932854,0.469900087,0.5,0.4
2,all,1,,4,1,3,,,,1,
2,all,1,,5,1,3,,,,1,
2,all,1,,6,1,3,,,,0.5,
2,all,1,,7,1,3,,,,1,
2,all,1,,8,1,3,,,,1,
2,all,1,,9,1,3,,,,1,
2,all,2,,1,1,9,23.07059632,22.87506583,0.411863674,1,0.4
2,all,2,,2,1,9,25.12991469,24.96087978,0.477289535,1,0.4
2,all,2,,3,1,9,27.51636237,27.59766064,0.115208961,0.5,0.4
2,all,2,,4,1,9,28.09240717,28.69049917,0.211498453,1,0.4
2,all,2,,5,1,9,29.14989944,28.63578538,0.470067717,1,0.4
2,all,2,,6,1,9,31.50023802,32.35884219,0.018226113,0.5,0.4
2,all,2,2,7,1,9,31.59136859,31.52631037,0.533396427,1,0.4
2,all,2,2,8,1,9,34.25835072,34.04899787,0.2312248,1,0.4
2,all,2,2,9,1,9,35.41447472,35.75185347,,1,0.4
2,all,3,,1,1,9,16.7906795,17.2124084,0.415178025,1,0.4
2,all,3,,2,1,9,18.86656962,18.62763758,0.598952326,1,0.4
2,all,3,,3,1,9,21.86133125,22.17711519,0.320657005,0.5,0.4
2,all,3,,4,1,9,23.46461628,24.07121252,0.631392862,1,0.4
2,all,3,,5,1,9,26.62158059,26.54487066,0.379072145,1,0.4
2,all,3,,6,1,9,28.51694131,28.63049287,0.266818217,0.5,0.4
2,all,3,3,7,1,9,29.8510324,29.15060539,0.156989193,1,0.4
2,all,3,3,8,1,9,30.63597836,30.30851045,0.516089448,1,0.4
2,all,3,3,9,1,9,33.2164256,33.23891154,,1,0.4
2,all,4,,1,1,9,7.194978706,7.649027844,0.621296522,1,0.4
2,all,4,,2,1,9,10.30146132,10.35242301,0.575165696,1,0.4
2,all,4,,3,1,9,13.1772898,13.41977442,0.382250245,0.5,0.4
2,all,4,,4,1,9,15.08854102,15.20491574,0.493684439,1,0.4
2,all,4,,5,1,9,17.55696322,17.62258692,0.798795104,1,0.4
