Species,Tag,OriginalStemID,TrueStemID,CensusID,BirthCensus,DeathCensus,DBH_true,DBH,AnnualGrowth,YearFactor,ObsSD
sp1,1,1,,1,1,9,48.8006744042198,49.0084372857972,1.13249233826813,1,0.4
sp1,1,1,,2,1,9,54.4631360955605,54.5835974404271,0.939455114624561,1,0.4
sp1,1,1,,3,1,9,59.1604116686833,59.2026821463428,1.28490915943371,1,0.4
sp1,1,1,,4,1,9,65.5849574658518,65.3286750625297,1.67833610060295,1,0.4
sp1,1,1,,5,1,9,73.9766379688666,73.6367562304531,1.04144841964353,1,0.4
sp1,1,1,,6,1,9,79.1838800670842,78.7742285508423,2.62063385910341,1,0.4
sp1,1,1,1,7,1,9,92.2870493626013,92.3341080014413,2.02684953066134,1,0.4
sp1,1,1,1,8,1,9,102.421297015908,102.042307170234,1.12707176652477,1,0.4
sp1,1,1,1,9,1,9,108.056655848532,107.860432871052,,1,0.4
sp1,1,2,,1,1,9,64.6625917657439,65.0318434614901,0.550609908408208,1,0.4
sp1,1,2,,2,1,9,67.415641307785,67.6928948965494,1.38843120878249,1,0.4
sp1,1,2,,3,1,9,74.3577973516974,74.3019972218727,0.0372459655761961,1,0.4
sp1,1,2,,4,1,9,74.5440271795784,73.2197556889534,2.11019714223644,1,0.4
sp1,1,2,,5,1,9,85.0950128907606,85.3103992104057,0.293636509838764,1,0.4
sp1,1,2,,6,1,9,86.5631954399544,86.9201897865562,1.30495946002073,1,0.4
sp1,1,2,2,7,1,9,93.0879927400581,93.2837775545434,0.777396369816032,1,0.4
sp1,1,2,2,8,1,9,96.9749745891382,96.4964338905121,0.800438435341021,1,0.4
sp1,1,2,2,9,1,9,100.977166765843,101.162261907142,,1,0.4
sp1,1,3,,1,1,9,66.4887186758881,66.4755042121777,0,1,0.4
sp1,1,3,,2,1,9,66.4887186758881,65.5023593983841,0.513439800754814,1,0.4
sp1,1,3,,3,1,9,69.0559176796622,70.0845009380088,0.576971101537191,1,0.4
sp1,1,3,,4,1,9,71.9407731873481,71.8586534843608,1.052142451498,1,0.4
sp1,1,3,,5,1,9,77.2014854448381,77.4619627574732,0,1,0.4
sp1,1,3,,6,1,9,77.2014854448381,77.3109920412528,1.66279953740878,1,0.4
sp1,1,3,3,7,1,9,85.515483131882,85.9253524258094,0.536587963853431,1,0.4
sp1,1,3,3,8,1,9,88.1984229511492,88.5254867296988,1.44724399889291,1,0.4
sp1,1,3,3,9,1,9,95.4346429456137,95.3507256771223,,1,0.4
sp1,1,4,,1,1,9,43.6927044797577,43.075000252819,1.38641644084526,1,0.4
sp1,1,4,,2,1,9,50.624786683984,50.5500630222647,1.32438769499606,1,0.4
sp1,1,4,,3,1,9,57.2467251589643,57.1960562653938,0,1,0.4
sp1,1,4,,4,1,9,57.2467251589643,56.8145577601029,1.12018658339505,1,0.4
sp1,1,4,,5,1,9,62.8476580759395,62.9176408610194,0.609100357064939,1,0.4
sp1,1,4,,6,1,9,65.8931598612642,65.4167615634503,1.17516426764673,1,0.4
sp1,1,4,4,7,1,9,71.7689811994979,71.7472826634172,0.527547877853858,1,0.4
sp1,1,4,4,8,1,9,74.4067205887672,73.7328543296257,1.08662188958642,1,0.4
sp1,1,4,4,9,1,9,79.8398300366993,79.5939888098428,,1,0.4
sp1,2,1,,1,1,9,1.31429198491012,1.79938667619805,0.525187928577945,1,0.4
sp1,2,1,,2,1,9,3.94023162779985,4.17110451015025,0.382558803606338,1,0.4
sp1,2,1,,3,1,9,5.85302564583154,6.76519701421841,1.02913142791553,1,0.4
sp1,2,1,,4,1,9,10.9986827854092,10.5970387514619,0.91953133001287,1,0.4
sp1,2,1,,5,1,9,15.5963394354736,15.6387187310752,1.11046747455569,1,0.4
sp1,2,1,,6,1,9,21.148676808252,22.3715269266095,1.0707103596492,1,0.4
sp1,2,1,1,7,1,9,26.502228606498,26.5101256669204,0.841893182285542,1,0.4
sp1,2,1,1,8,1,9,30.7116945179257,31.0682928193133,1.94212993045333,1,0.4
sp1,2,1,1,9,1,9,40.4223441701924,40.7621215471555,,1,0.4
sp1,2,2,,1,1,9,8.39452058332775,8.65125259438839,1.12069922106853,1,0.4
sp1,2,2,,2,1,9,13.9980166886704,13.3862924761983,1.38660867360165,1,0.4
sp1,2,2,,3,1,9,20.9310600566787,20.9317335320723,1.08142523540922,1,0.4
sp1,2,2,,4,1,9,26.3381862337248,26.4382853622641,1.09510152725795,1,0.4
sp1,2,2,,5,1,9,31.8136938700145,32.0392408261368,1.54087348157595,1,0.4
sp1,2,2,,6,1,9,39.5180612778942,39.5938317729001,1.08614951745859,1,0.4
sp1,2,2,2,7,1,9,44.9488088651872,44.6556673426683,1.48270808556635,1,0.4
sp1,2,2,2,8,1,9,52.3623492930189,52.7568956369771,1.47032767614732,1,0.4
sp1,2,2,2,9,1,9,59.7139876737555,60.409441180518,,1,0.4
sp1,2,3,,1,1,9,5.44407066251652,5.54210696420153,0.895121397375536,1,0.4
sp1,2,3,,2,1,9,9.9196776493942,10.588880803449,1.26098412459001,1,0.4
sp1,2,3,,3,1,9,16.2245982723442,15.671280611819,0.909433362097888,1,0.4
sp1,2,3,,4,1,9,20.7717650828337,21.2316069423406,0.567884539809536,1,0.4
sp1,2,3,,5,1,9,23.6111877818814,24.0137748492832,1.26776987379872,1,0.4
sp1,2,3,,6,1,9,29.950037150875,30.107065354323,1.29939144199431,1,0.4
sp1,2,3,3,7,1,9,36.4469943608465,36.0925170608178,1.26467289985112,1,0.4
sp1,2,3,3,8,1,9,42.7703588601021,42.2216571493681,1.00927494115495,1,0.4
sp1,2,3,3,9,1,9,47.8167335658768,48.4252522764778,,1,0.4
sp1,2,4,,1,1,9,4.23912124808602,4.26702774044614,0.822138572577368,1,0.4
sp1,2,4,,2,1,9,8.34981411097286,7.61042500083779,0.977834213626971,1,0.4
sp1,2,4,,3,1,9,13.2389851791077,12.5705343556508,1.06792424409081,1,0.4
sp1,2,4,,4,1,9,18.5786063995617,18.5475908128453,0.687170062166316,1,0.4
sp1,2,4,,5,1,9,22.0144567103933,21.7820297581667,1.42419499130688,1,0.4
sp1,2,4,,6,1,9,29.1354316669278,29.1573262769507,1.16109625230663,1,0.4
sp1,2,4,4,7,1,9,34.9409129284609,34.0964295791567,1.28115543967813,1,0.4
sp1,2,4,4,8,1,9,41.3466901268515,40.7472108250408,0.502639269817405,1,0.4
sp1,2,4,4,9,1,9,43.8598864759386,43.4192931003631,,1,0.4
sp1,3,1,,1,1,9,4.46498405586367,4.83232052427233,0.73402550388227,1,0.4
sp1,3,1,,2,1,9,8.13511157527502,7.95403131667173,0.739693708570623,1,0.4
sp1,3,1,,3,1,9,11.8335801181281,11.1342312061269,0.971140745270511,1,0.4
