species,CensusID,Tag,DBH,ExactDate,ListOfTSM,growth_form,,TrueStemID,Bio_Mu_Growth,Bio_Gamma_Growth,Bio_Sigma0_Growth,Bio_Sigma1_Growth,Bio_H0_Mortality,Bio_Beta_Mortality,Bio_Recruit_Meanlog,Bio_Recruit_Sdlog,Bio_Recruit_MaxDBH_unit,Bio_Recruitment_lambda,Bio_Max_Shrink,Bio_K_Shrink,Bio_Max_Growth,Bio_Max_Growth_Soft,Bio_K_Growth
tachve,1,106452,1,9/30/81,,tree,,,-0.152855748,0.311905478,1.00E-04,0.026979707,0.063959807,-0.011175879,0.387431497,0.300275601,38.4999,0.070512796,-0.5,0,7.5,2.432921406,0
tachve,2,106452,1.5,5/21/85,,tree,,,-0.152855748,0.311905478,1.00E-04,0.026979707,0.063959807,-0.011175879,0.387431497,0.300275601,38.4999,0.070512796,-0.5,0,7.5,2.432921406,0
tachve,3,106452,1.8,8/22/90,,tree,,1,-0.152855748,0.311905478,1.00E-04,0.026979707,0.063959807,-0.011175879,0.387431497,0.300275601,38.4999,0.070512796,-0.5,0,7.5,2.432921406,0
tachve,4,106452,,5/30/95,D;T,tree,,,-0.152855748,0.311905478,1.00E-04,0.026979707,0.063959807,-0.011175879,0.387431497,0.300275601,38.4999,0.070512796,-0.5,0,7.5,2.432921406,0
cappfr,1,159367,1.5,3/23/82,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,2,159367,1,4/20/85,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,3,159367,1.6,9/20/90,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,4,159367,1.9,5/30/95,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,5,159367,2,5/17/00,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,6,159367,2,6/8/05,,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,7,159367,2.3,6/3/10,,shrub,,138454,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,8,159367,2.3,6/30/15,L,shrub,,138454,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
cappfr,9,159367,,9/28/22,R,shrub,,,0.03560944,-0.015825353,0.001234458,0,0.094200553,-0.390079973,0.259458706,0.242521002,38.4999,0.066134423,-0.5,0,7.5,0.184831444,0
aspicr,1,167848,1,4/8/82,,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,2,167848,1,4/27/85,,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,3,167848,1.5,9/8/90,,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,4,167848,1.5,4/12/95,,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
