Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
210481,caseac,"1,2,3,4,5,6,7",7,4,2,12,44,192,192,FALSE,,0.129803766066448,3.60566016851245e-05
421102,all_trees_shrubs,"3,4,5,6,7",5,4,2,12,28,128,128,FALSE,,0.103910305654118,2.88639737928104e-05
208529,hirttr,"1,2,3,4,5,6,7",7,3,2,6,24,72,72,FALSE,,0.0784542575134269,2.17928493092852e-05
158777,hybapr,"1,2,3,4,5,6,7",7,2,1,2,14,24,24,FALSE,,0.0513708739415317,1.4269687205981e-05
202614,all_palm_tree_fern,"1,2,3,4,5,7",6,10,8,1814400,1815480,163385100,,TRUE,enum_exceeded,31317511.3002002,8699.30869450006
187064,faraoc,"1,2,3",3,4,2,12,28,192,,TRUE,anchor_ids_missing,0.129803766066448,3.60566016851245e-05
209047,alsebl,"1,2,3,4",4,3,1,3,12,27,,TRUE,anchor_ids_missing,0.0533760848648846,1.48266902402457e-05
248848,alsebl,"1,2,4",3,2,1,2,6,8,,TRUE,anchor_ids_missing,0.039021555723988,1.08393210344411e-05
245665,all_trees_shrubs,"1,2",2,2,1,2,4,4,,TRUE,anchor_ids_missing,0.0354113502165393,9.83648617126093e-06
431930,all_trees_shrubs,"3,4",2,2,1,2,4,4,,TRUE,anchor_ids_missing,0.0354113502165393,9.83648617126093e-06
